[Profiler] Pipeline IA tomo: 3.5663 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.0073 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 7.6885 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.6651 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5217 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.6186 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.0083 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.4644 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.5762 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.3246 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.5218 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.6758 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.9956 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.2926 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 7.7793 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5979 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.4833 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.6045 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.6825 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.933 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5641 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.7389 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.6624 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.744 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 6.1136 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.0429 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.3331 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.6582 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5874 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.3809 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.904 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.0532 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.8175 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5248 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.7495 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.2597 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.8176 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.6174 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5081 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.9216 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.8381 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.9079 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.7235 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.465 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.685 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 6.8988 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.0502 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.6699 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.4654 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5798 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.8546 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 6.8174 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.1106 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.4725 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.4957 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.193 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.4891 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.6156 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5814 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.2135 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 6.0942 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.1196 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5731 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.8043 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.4201 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.5968 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.9819 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.7045 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.7226 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.6571 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.7792 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.8893 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 6.9791 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.9184 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 7.9723 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.6282 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.7244 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.0287 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5564 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.4796 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5965 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.4232 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 25.226 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 12.7851 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 13.6432 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 12.7265 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 12.5827 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 12.0251 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 13.964 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 14.8493 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 14.6019 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 14.003 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 12.4375 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 13.6407 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 14.875 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 14.0646 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 12.0296 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 12.5865 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 11.5246 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 11.8618 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 12.5706 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 11.4163 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 13.1438 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 17.0007 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 12.7001 ms | Denoise: ON | VSR (0)
